timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.7593368 ,Left ,+29 ,-2 ,0  ,+4 ,+2 ,-5 ,+20 ,-12
1.7741187 ,Left ,-12 ,-3 ,-3 ,-19 ,-3 ,0  ,-20 ,-1
1.7741264 ,Left ,0  ,+5 ,+6 ,+19 ,+28 ,+8 ,+17 ,+5
1.7818668 ,Left ,-5 ,0  ,0  ,-3 ,0  ,+3 ,+2 ,-3
1.7818757 ,Left ,-5 ,-1 ,-1 ,+5 ,-4 ,-5 ,-12 ,-5
1.7969752 ,Left ,-20 ,-6 ,-4 ,+1 ,-2 ,-5 ,+8 ,-34
1.7970007 ,Left ,+34 ,+2 ,-3 ,-2 ,-10 ,-4 ,+4 ,+53
1.8044337 ,Left ,-20 ,-1 ,+1 ,-8 ,+16 ,+1 ,+6 ,+5
1.8044422 ,Left ,-2 ,-2 ,-1 ,+6 ,-23 ,-5 ,-9 ,-13
1.811803 ,Left ,+16 ,+4 ,+2 ,+3 ,+22 ,0  ,+4 ,-8
1.8118121 ,Left ,-44 ,-14 ,-7 ,-1 ,-7 ,0  ,-20 ,-35
1.8188702 ,Left ,0  ,-7 ,-6 ,-8 ,-5 ,+1 ,+21 ,+9
1.8188942 ,Left ,+1 ,+2 ,+5 ,+9 ,+16 ,+3 ,+7 ,+12
1.8345097 ,Left ,+5 ,+8 ,+4 ,-11 ,-39 ,0  ,-4 ,-4
1.834522 ,Left ,+4 ,0  ,0  ,+4 ,-4 ,-10 ,-14 ,-16
1.8420078 ,Left ,+1 ,+2 ,0  ,+4 ,+12 ,+1 ,+26 ,-4
1.8421151 ,Left ,-19 ,-18 ,-13 ,-4 ,-2 ,-3 ,-29 ,-6
1.8569083 ,Left ,+7 ,-2 ,-1 ,-15 ,+11 ,0  ,+3 ,+37
1.8569204 ,Left ,0  ,+9 ,+6 ,+6 ,-17 ,-4 ,0  ,-3
1.8716546 ,Left ,-5 ,-11 ,-7 ,+2 ,+15 ,-1 ,-1 ,0 
1.8717912 ,Left ,-3 ,-5 ,0  ,+4 ,-2 ,-1 ,-2 ,-4
1.8789654 ,Left ,-2 ,-6 ,-7 ,-2 ,+1 ,0  ,-5 ,-7
1.8789719 ,Left ,+10 ,+9 ,+4 ,+8 ,-11 ,+1 ,-4 ,+4
1.8940223 ,Left ,-11 ,-9 ,-7 ,-7 ,-2 ,-5 ,+2 ,+2
1.8940269 ,Left ,0  ,-3 ,-2 ,-5 ,+2 ,+5 ,0  ,-7
1.9015018 ,Left ,-1 ,-3 ,+2 ,0  ,-1 ,-4 ,-9 ,-5
1.9015064 ,Left ,+1 ,-2 ,-1 ,+2 ,+7 ,-4 ,+1 ,+7
1.916595 ,Left ,-2 ,+3 ,+2 ,-1 ,-4 ,-8 ,-1 ,-3
1.9165994 ,Left ,-2 ,+1 ,+1 ,+5 ,+11 ,+4 ,-1 ,-1
1.9240327 ,Left ,+5 ,+4 ,+3 ,+10 ,+2 ,0  ,-5 ,+3
1.9240372 ,Left ,-7 ,+2 ,-2 ,-14 ,-7 ,-7 ,+1 ,+9
1.9314724 ,Left ,+20 ,+4 ,+5 ,+12 ,+11 ,+3 ,+2 ,-1
1.9314771 ,Left ,+14 ,-2 ,0  ,-11 ,-5 ,+1 ,-3 ,+2
1.9392596 ,Left ,+3 ,+2 ,+2 ,+2 ,+4 ,-2 ,0  ,+3
1.939265 ,Left ,-21 ,-3 ,-4 ,+5 ,-2 ,-1 ,-7 ,-18
1.9540167 ,Left ,+9 ,-4 ,-4 ,-2 ,-12 ,-5 ,0  ,+4
1.9540217 ,Left ,-18 ,+1 ,-4 ,+2 ,+19 ,+5 ,+3 ,-5
1.9615279 ,Left ,+16 ,+2 ,+2 ,-6 ,-8 ,-1 ,-2 ,+3
1.9615329 ,Left ,+7 ,+2 ,+1 ,+8 ,+6 ,+2 ,+3 ,+5
1.9767338 ,Left ,-16 ,-3 ,0  ,+3 ,-6 ,-1 ,-2 ,-3
1.9767384 ,Left ,+5 ,-3 ,-3 ,-3 ,-10 ,-5 ,+13 ,-1
1.9841051 ,Left ,-3 ,+2 ,-1 ,-8 ,-14 ,-4 ,-32 ,-9
1.9841111 ,Left ,-2 ,-1 ,+2 ,+5 ,+3 ,+7 ,-6 ,-3
1.9915765 ,Left ,-10 ,-3 ,+2 ,+2 ,+26 ,+11 ,+25 ,+3
1.9915829 ,Left ,+16 ,+1 ,0  ,-6 ,-14 ,-5 ,+11 ,+2
1.9992168 ,Left ,-26 ,+1 ,+2 ,+6 ,-4 ,+4 ,+24 ,-17
1.9992242 ,Left ,+17 ,-8 ,-8 ,-12 ,+3 ,-2 ,-11 ,+53
2.0140592 ,Left ,-10 ,-8 ,-3 ,-4 ,-9 ,+5 ,-21 ,-8
2.0140657 ,Left ,+13 ,+11 ,+8 ,+11 ,+14 ,+5 ,+9 ,-28
2.0217557 ,Left ,+16 ,+10 ,+6 ,+5 ,+4 ,-2 ,+4 ,+8
2.021764 ,Left ,-7 ,-5 ,-3 ,-10 ,-9 ,-4 ,-2 ,-9
2.0365873 ,Left ,-6 ,0  ,+1 ,+2 ,-4 ,-3 ,+12 ,0 
2.0365943 ,Left ,-14 ,-12 ,-11 ,-11 ,-26 ,-5 ,-17 ,+2
2.0442095 ,Left ,-8 ,-10 ,-3 ,+1 ,+5 ,-3 ,-1 ,-12
2.0442151 ,Left ,+4 ,+12 ,+7 ,+6 ,+7 ,0  ,0  ,-5
2.0516156 ,Left ,+5 ,+8 ,0  ,-2 ,-4 ,-3 ,-4 ,+6
2.0516214 ,Left ,-10 ,-12 ,-1 ,+4 ,+16 ,0  ,-4 ,-2
2.0592949 ,Left ,-1 ,+2 ,-6 ,-23 ,-5 ,0  ,-9 ,+1
2.0593009 ,Left ,-1 ,-8 ,-8 ,-2 ,-38 ,-15 ,+10 ,-5
2.0741619 ,Left ,-5 ,+4 ,+7 ,+7 ,-7 ,-3 ,-8 ,-6
2.074168 ,Left ,+2 ,+8 ,+1 ,-8 ,-20 ,-6 ,-10 ,+3
2.081628 ,Left ,+3 ,-4 ,-2 ,+12 ,+16 ,-1 ,+8 ,+9
2.0816337 ,Left ,-19 ,-12 ,-5 ,-4 ,+12 ,-3 ,-2 ,-11
2.1040873 ,Left ,+21 ,+2 ,-2 ,-2 ,-8 ,+4 ,-3 ,-3
2.1040933 ,Left ,-4 ,0  ,+5 ,+4 ,+20 ,+9 ,-2 ,+6
2.1192052 ,Left ,-11 ,-4 ,-3 ,+2 ,+2 ,-9 ,-9 ,-13
2.1192108 ,Left ,-1 ,-3 ,-5 ,0  ,+2 ,+1 ,-3 ,+9
2.1266635 ,Left ,-17 ,+4 ,+4 ,+8 ,+8 ,-3 ,+5 ,-23
2.1266694 ,Left ,+22 ,+3 ,+1 ,+2 ,-6 ,+1 ,+3 ,+55
2.1414915 ,Left ,-10 ,-4 ,-3 ,-6 ,-5 ,+1 ,+9 ,-4
2.1414972 ,Left ,+16 ,+6 ,+1 ,+8 ,+7 ,+1 ,+7 ,+10
2.1490987 ,Left ,+3 ,-7 ,-3 ,-8 ,-6 ,-2 ,-3 ,-33
2.1491044 ,Left ,-7 ,+5 ,+6 ,+3 ,+6 ,+6 ,-16 ,-13
2.156659 ,Left ,-8 ,-6 ,-6 ,+4 ,+34 ,+3 ,+43 ,+19
2.1566646 ,Left ,-25 ,-1 ,-4 ,-7 ,-27 ,-10 ,-18 ,+20
2.171671 ,Left ,+3 ,-2 ,-3 ,-8 ,+6 ,+7 ,-34 ,-17
2.1716762 ,Left ,-6 ,-3 ,+3 ,+8 ,+18 ,+3 ,+8 ,-13
2.1790222 ,Left ,-7 ,+1 ,0  ,+5 ,0  ,-7 ,0  ,+19
2.1790273 ,Left ,-2 ,-1 ,0  ,+8 ,+2 ,+2 ,-11 ,-25
2.193974 ,Left ,-5 ,+2 ,0  ,-10 ,-10 ,-9 ,-2 ,+1
2.1939793 ,Left ,-6 ,-8 ,-4 ,-6 ,+5 ,-2 ,+6 ,+1
2.201502 ,Left ,+8 ,+4 ,+7 ,+9 ,-1 ,+2 ,-4 ,+14
2.2015076 ,Left ,+3 ,+6 ,0  ,-4 ,0  ,+2 ,-2 ,-17
2.2166264 ,Left ,-3 ,-1 ,-3 ,+2 ,-6 ,-2 ,+5 ,+5
2.2166757 ,Left ,0  ,-5 ,-7 ,-10 ,+2 ,+4 ,-8 ,-11
2.2241109 ,Left ,+5 ,-11 ,-8 ,-12 ,+6 ,+1 ,+12 ,+18
2.2241142 ,Left ,-12 ,-3 ,+4 ,+1 ,+1 ,-1 ,0  ,-17
2.2312815 ,Left ,+1 ,+1 ,0  ,+9 ,-17 ,-5 ,-15 ,-3
2.2312844 ,Left ,+3 ,+3 ,-5 ,-11 ,-5 ,-5 ,-7 ,-5
2.2389341 ,Left ,-6 ,-2 ,+1 ,+9 ,+4 ,+6 ,+13 ,+12
2.2389371 ,Left ,+2 ,-3 ,-9 ,-5 ,+1 ,-2 ,-2 ,-9
2.2620472 ,Left ,-3 ,-4 ,-2 ,-14 ,-9 ,-4 ,-9 ,-4
2.2620596 ,Left ,-1 ,+1 ,+3 ,+17 ,+6 ,+6 ,0  ,-1
2.2696422 ,Left ,+2 ,-1 ,-4 ,-5 ,+1 ,-4 ,+5 ,+7
2.2696547 ,Left ,-8 ,-6 ,-5 ,-7 ,-9 ,-8 ,-4 ,-15
2.2839035 ,Left ,+3 ,-2 ,0  ,-2 ,0  ,0  ,-2 ,0 
2.2839064 ,Left ,0  ,+1 ,-3 ,-2 ,-6 ,-1 ,+1 ,-2
2.2913258 ,Left ,-3 ,+1 ,-2 ,+1 ,+2 ,+2 ,+1 ,+5
2.2913493 ,Left ,-2 ,+2 ,+1 ,+7 ,+8 ,0  ,-5 ,-6
2.29879 ,Left ,-1 ,+1 ,-1 ,-4 ,-27 ,-5 ,+1 ,+2
2.2987932 ,Left ,-3 ,-4 ,-1 ,+1 ,+9 ,+7 ,-3 ,-3
2.306452 ,Left ,-1 ,-3 ,-4 ,-4 ,-1 ,-1 ,-2 ,0 
2.3064553 ,Left ,+4 ,-1 ,+1 ,+4 ,0  ,+4 ,-1 ,-3
2.3139069 ,Left ,-5 ,0  ,0  ,+1 ,+10 ,-1 ,0  ,0 
2.3139105 ,Left ,0  ,0  ,+1 ,-2 ,-14 ,-6 ,-3 ,-2
2.3214116 ,Left ,0  ,-1 ,-1 ,-1 ,-14 ,0  ,-1 ,+4
2.3214369 ,Left ,-4 ,+1 ,-1 ,-2 ,-15 ,-9 ,0  ,-4
2.3366384 ,Left ,-3 ,-6 ,-3 ,-7 ,-8 ,+7 ,+2 ,-1
2.3366423 ,Left ,-2 ,-3 ,-2 ,-1 ,+1 ,-19 ,-9 ,0 
2.3440635 ,Left ,+2 ,+3 ,+2 ,+4 ,+3 ,-3 ,+9 ,+4
2.3440675 ,Left ,0  ,-2 ,-3 ,-2 ,+6 ,+11 ,-7 ,-9
2.3514907 ,Left ,+3 ,+1 ,+2 ,+6 ,+13 ,+2 ,-3 ,-2
2.351495 ,Left ,-2 ,-1 ,-4 ,-8 ,-6 ,+17 ,+2 ,+1
2.3591627 ,Left ,-4 ,-6 ,-6 ,-3 ,-11 ,-21 ,-1 ,0 
2.3591656 ,Left ,-3 ,+3 ,+7 ,+8 ,+3 ,-6 ,-4 ,-4
2.3739562 ,Left ,+5 ,-3 ,-4 ,-4 ,+3 ,+2 ,-1 ,0 
2.3739597 ,Left ,+3 ,-2 ,+1 ,+1 ,0  ,+6 ,+3 ,-4
2.3820051 ,Left ,-4 ,-5 ,-1 ,-1 ,+12 ,+6 ,-2 ,-1
2.3820173 ,Left ,0  ,+1 ,+1 ,-2 ,-15 ,-1 ,0  ,+1
2.397003 ,Left ,0  ,-2 ,-2 ,+1 ,+17 ,-11 ,-7 ,-1
2.3971722 ,Left ,-1 ,-2 ,-4 ,-5 ,-14 ,-10 ,0  ,-1
2.4046435 ,Left ,0  ,-5 ,-7 ,-8 ,-9 ,-9 ,-4 ,-1
2.4046568 ,Left ,-4 ,0  ,-1 ,-1 ,+7 ,-1 ,0  ,-3
2.412087 ,Left ,-5 ,-3 ,0  ,0  ,+1 ,+4 ,-3 ,-2
2.412101 ,Left ,+6 ,+2 ,+1 ,0  ,+10 ,0  ,-1 ,-1
2.4194963 ,Left ,-6 ,-2 ,-2 ,-1 ,-2 ,+8 ,-3 ,-1
2.4195086 ,Left ,+1 ,-3 ,-2 ,+1 ,+12 ,-18 ,-1 ,-1
2.4345009 ,Left ,-8 ,-3 ,-3 ,-16 ,-16 ,-6 ,-3 ,-3
2.4345132 ,Left ,+2 ,-1 ,-3 ,+4 ,-9 ,+5 ,0  ,-2
2.4419055 ,Left ,0  ,+1 ,+3 ,-1 ,+7 ,+6 ,0  ,0 
2.4420288 ,Left ,-5 ,-2 ,-2 ,-1 ,-9 ,-1 ,-2 ,-1
2.4570866 ,Left ,+1 ,0  ,+2 ,+4 ,+3 ,+4 ,+1 ,0 
2.4570989 ,Left ,-4 ,-2 ,+1 ,-13 ,+19 ,-2 ,-3 ,-1
2.4644851 ,Left ,+3 ,+2 ,+1 ,+9 ,-10 ,-6 ,-1 ,+1
2.4646884 ,Left ,-4 ,-2 ,-3 ,-7 ,-3 ,-8 ,-2 ,-2
2.4718615 ,Left ,-1 ,0  ,0  ,+4 ,-7 ,+4 ,0  ,-2
2.4719654 ,Left ,-3 ,+2 ,0  ,+9 ,+16 ,+7 ,+3 ,0 
2.4796675 ,Left ,+3 ,+1 ,+1 ,+5 ,+7 ,+1 ,-4 ,-2
2.4796806 ,Left ,-7 ,-1 ,-1 ,0  ,-1 ,+5 ,-3 ,-7
2.4945186 ,Left ,+3 ,-1 ,-2 ,-3 ,+1 ,0  ,-1 ,+9
2.4945312 ,Left ,-6 ,-2 ,0  ,+1 ,-25 ,-14 ,-10 ,-11
2.5019547 ,Left ,-8 ,-5 ,-3 ,-3 ,-1 ,+8 ,+10 ,+2
2.5019668 ,Left ,+9 ,+1 ,-3 ,-13 ,-9 ,-8 ,+13 ,+2
2.5168471 ,Left ,-5 ,0  ,-3 ,+4 ,+11 ,+5 ,-3 ,+5
2.516951 ,Left ,-2 ,-2 ,-3 ,-3 ,-11 ,-10 ,-10 ,-8
2.5241766 ,Left ,+5 ,+5 ,+1 ,+1 ,0  ,+2 ,+4 ,+16
2.5241832 ,Left ,+1 ,+4 ,+3 ,0  ,+2 ,+8 ,-2 ,-5
2.5315978 ,Left ,-7 ,-4 ,+1 ,+3 ,-8 ,-6 ,0  ,-16
2.5316031 ,Left ,0  ,-3 ,-6 ,-13 ,+1 ,+7 ,+2 ,+9
2.5390116 ,Left ,+8 ,+3 ,-4 ,+3 ,+11 ,+5 ,0  ,-13
2.5390171 ,Left ,+2 ,-7 ,-3 ,-4 ,-13 ,-11 ,-1 ,+27
2.5542528 ,Left ,-2 ,0  ,+2 ,-3 ,+3 ,0  ,-5 ,-9
2.554258 ,Left ,+1 ,+1 ,+1 ,+7 ,+2 ,+1 ,+1 ,-7
2.5614502 ,Left ,-15 ,+1 ,+1 ,-3 ,-2 ,+2 ,0  ,+3
2.5614933 ,Left ,0  ,-8 ,-5 ,-2 ,-5 ,-5 ,+8 ,-4
2.5764036 ,Left ,+5 ,-1 ,-2 ,-5 ,+6 ,-3 ,-1 ,+4
2.5764064 ,Left ,+1 ,-3 ,+1 ,0  ,-4 ,0  ,+7 ,-2
2.5838382 ,Left ,0  ,+3 ,0  ,-5 ,-29 ,-4 ,-2 ,-1
2.5838414 ,Left ,-7 ,-2 ,-4 ,0  ,+24 ,-6 ,-6 ,-8
2.5915142 ,Left ,-2 ,-7 ,-6 ,-5 ,-7 ,+6 ,-1 ,+3
2.5915175 ,Left ,-2 ,0  ,+4 ,+8 ,+9 ,-12 ,+3 ,0 
2.5990685 ,Left ,+4 ,+9 ,+2 ,-16 ,-8 ,-7 ,-5 ,0 
2.5990725 ,Left ,+1 ,+7 ,+3 ,+5 ,-25 ,+5 ,-8 ,-4
2.6141275 ,Left ,+1 ,+1 ,+1 ,+2 ,-1 ,+4 ,+3 ,-1
2.6141305 ,Left ,0  ,-1 ,-4 ,-6 ,+7 ,+1 ,0  ,+4
2.6214071 ,Left ,-7 ,-9 ,-4 ,-5 ,+20 ,+4 ,+1 ,-3
2.6214105 ,Left ,-4 ,-9 ,-9 ,-15 ,-13 ,-1 ,-11 ,-9
2.6364609 ,Left ,-3 ,+3 ,+3 ,-4 ,+1 ,-4 ,+2 ,+3
2.6364747 ,Left ,+2 ,+2 ,+3 ,+11 ,+8 ,+10 ,0  ,+2
2.643943 ,Left ,0  ,-2 ,0  ,+1 ,-7 ,-5 ,0  ,-5
2.6439475 ,Left ,-5 ,-3 ,-6 ,-14 ,-7 ,-1 ,-2 ,0 
2.6516074 ,Left ,-8 ,-7 ,0  ,+18 ,+14 ,-2 ,0  ,-2
2.6516131 ,Left ,0  ,-3 ,-2 ,0  ,0  ,-5 ,-4 ,0 
2.6591193 ,Left ,+11 ,+3 ,+3 ,-6 ,-10 ,+2 ,+9 ,+1
2.6591248 ,Left ,+1 ,+3 ,+4 ,+16 ,+11 ,+4 ,-14 ,+1
2.6740173 ,Left ,-9 ,-5 ,-5 ,-3 ,-9 ,-7 ,-12 ,-8
2.6741492 ,Left ,-5 ,+2 ,+1 ,-16 ,+2 ,+8 ,-3 ,-12
2.6818001 ,Left ,0  ,-6 ,-5 ,+4 ,+7 ,-4 ,-4 ,+7
2.6818082 ,Left ,0  ,-2 ,0  ,-2 ,+3 ,+6 ,+8 ,-1
2.6966103 ,Left ,+5 ,+3 ,0  ,-5 ,-30 ,-6 ,+1 ,+15
2.6966178 ,Left ,0  ,-4 ,-5 ,-6 ,-4 ,-20 ,-25 ,-1
2.7043872 ,Left ,-8 ,-6 ,-1 ,+4 ,-6 ,+10 ,-2 ,-17
2.7043955 ,Left ,-1 ,-4 ,-2 ,+2 ,+12 ,-14 ,-5 ,-7
2.7118659 ,Left ,-18 ,+1 ,+1 ,+1 ,+5 ,+3 ,0  ,-8
2.7118753 ,Left ,+4 ,-1 ,-3 ,-1 ,-11 ,0  ,+5 ,+3
2.7191273 ,Left ,-2 ,+2 ,+5 ,+5 ,+14 ,0  ,+2 ,+1
2.7192213 ,Left ,+10 ,+8 ,-5 ,-10 ,-20 ,+3 ,-5 ,-7
2.7342136 ,Left ,0  ,-7 ,-5 ,+3 ,+8 ,-4 ,+3 ,-1
2.7342762 ,Left ,+1 ,+1 ,+2 ,-22 ,-20 ,+2 ,+3 ,+9
2.7417163 ,Left ,+2 ,0  ,0  ,+8 ,+8 ,-8 ,-8 ,-3
2.7417244 ,Left ,-12 ,-8 ,+1 ,+17 ,+26 ,+6 ,+8 ,-5
2.7492979 ,Left ,+8 ,+7 ,+6 ,-16 ,-16 ,-7 ,-2 ,+8
2.7493062 ,Left ,-1 ,-5 ,-4 ,+10 ,+23 ,+3 ,+6 ,-1
2.7567547 ,Left ,+1 ,+2 ,+5 ,+14 ,+5 ,-5 ,-4 ,-2
2.7568867 ,Left ,-1 ,-2 ,-11 ,-16 ,-1 ,+4 ,+1 ,+4
2.7718314 ,Left ,-4 ,-12 ,-9 ,-20 ,-5 ,-3 ,0  ,-5
2.7719123 ,Left ,-4 ,+10 ,+13 ,+31 ,+21 ,+4 ,+4 ,0 
2.7794629 ,Left ,-1 ,-5 ,-8 ,-15 ,-20 ,-5 ,-3 ,-1
2.7794711 ,Left ,-4 ,-5 ,+1 ,+4 ,-2 ,-8 ,-3 ,+1
2.7942753 ,Left ,+9 ,+2 ,+1 ,+3 ,+16 ,+6 ,-1 ,0 
2.7942838 ,Left ,+2 ,-3 ,-4 ,-3 ,+8 ,-10 ,+25 ,-7
2.8016415 ,Left ,-15 ,-9 ,-6 ,-9 ,-6 ,-6 ,-34 ,-52
2.8016496 ,Left ,-6 ,+4 ,+8 ,+13 ,-9 ,-2 ,-3 ,+52
2.8166937 ,Left ,+29 ,0  ,-2 ,+5 ,0  ,+22 ,+28 ,-8
2.8167019 ,Left ,+9 ,-2 ,+1 ,-8 ,+20 ,+5 ,-25 ,+68
2.8242878 ,Left ,-2 ,-2 ,-7 ,-1 ,+6 ,-6 ,+5 ,+1
2.8242971 ,Left ,-7 ,-1 ,+1 ,+2 ,-5 ,0  ,+9 ,-20
2.8316044 ,Left ,+1 ,+4 ,+4 ,+7 ,-2 ,-6 ,-39 ,-27
2.8316129 ,Left ,-16 ,-5 ,-6 ,-5 ,-19 ,-5 ,+23 ,+11
2.839245 ,Left ,-8 ,-6 ,-6 ,-4 ,+2 ,+7 ,-3 ,-10
2.8392532 ,Left ,0  ,-1 ,+2 ,-5 ,-7 ,+8 ,-46 ,+2
2.8541201 ,Left ,+7 ,+9 ,+5 ,0  ,0  ,-6 ,+8 ,+5
2.8541431 ,Left ,-3 ,0  ,-2 ,+3 ,-16 ,+2 ,-8 ,-32
2.8616759 ,Left ,+4 ,-2 ,-2 ,+1 ,+32 ,+10 ,+15 ,+40
2.8616839 ,Left ,-9 ,-7 ,-5 ,-5 ,-20 ,-15 ,+24 ,-35
2.8768827 ,Left ,-1 ,-2 ,-2 ,-17 ,-16 ,-6 ,-13 ,+23
2.8770174 ,Left ,-2 ,+1 ,+2 ,-10 ,-8 ,+1 ,-8 ,-25
2.8843115 ,Left ,+6 ,+1 ,+1 ,+19 ,+1 ,-3 ,+2 ,+8
2.8843194 ,Left ,+9 ,+4 ,+4 ,+5 ,+1 ,+4 ,+10 ,+6
2.8918261 ,Left ,-14 ,-14 ,-15 ,-18 ,0  ,+2 ,+3 ,-10
2.8918451 ,Left ,-2 ,-2 ,+1 ,-9 ,-2 ,-2 ,-5 ,-7
2.8993455 ,Left ,+3 ,+15 ,+9 ,+14 ,-9 ,-2 ,+7 ,+11
2.8993537 ,Left ,+4 ,0  ,-1 ,+2 ,-2 ,+5 ,-1 ,-3
2.9143422 ,Left ,-9 ,-4 ,-4 ,-8 ,+9 ,-6 ,-2 ,-1
2.9143505 ,Left ,-10 ,-15 ,-13 ,-6 ,+1 ,+3 ,+7 ,-2
2.9217656 ,Left ,0  ,-8 ,-5 ,-19 ,-26 ,-4 ,-10 ,-9
2.9217745 ,Left ,+3 ,+4 ,+4 ,+10 ,+9 ,+2 ,-2 ,-6
2.9367937 ,Left ,-3 ,+12 ,+4 ,+25 ,+13 ,-7 ,0  ,+8
2.9371124 ,Left ,+8 ,-12 ,-10 ,-20 ,-16 ,-5 ,+31 ,-2
2.9443136 ,Left ,-27 ,-4 ,+1 ,-12 ,+3 ,+11 ,-19 ,0 
2.9444647 ,Left ,-1 ,+2 ,0  ,+1 ,+5 ,+3 ,+5 ,-1
2.9518516 ,Left ,+20 ,-1 ,-5 ,-16 ,-8 ,-2 ,+11 ,+8
2.9519857 ,Left ,-33 ,0  ,+1 ,+14 ,-8 ,-5 ,+32 ,-46
2.9593108 ,Left ,+32 ,+3 ,+4 ,+8 ,+6 ,-2 ,-23 ,+46
2.959414 ,Left ,-33 ,-7 ,-5 ,-14 ,+4 ,-4 ,-47 ,0 
2.9746949 ,Left ,+31 ,-6 ,-6 ,-17 ,-29 ,-3 ,+5 ,-4
2.9747092 ,Left ,-6 ,-1 ,-4 ,+4 ,-6 ,-2 ,+3 ,-3
2.9821965 ,Left ,-7 ,-5 ,0  ,+1 ,0  ,-6 ,-3 ,-35
2.9822089 ,Left ,+17 ,+7 ,+4 ,+6 ,0  ,+7 ,+28 ,+45
2.9968399 ,Left ,-21 ,-4 ,+2 ,+10 ,+27 ,-1 ,-13 ,-21
2.996852 ,Left ,+16 ,-4 ,-9 ,-13 ,-50 ,-8 ,-34 ,+16
3.0043211 ,Left ,-8 ,+1 ,+2 ,+1 ,+9 ,0  ,+16 ,-17
3.0043278 ,Left ,+12 ,+3 ,+1 ,-3 ,+10 ,-5 ,+3 ,-5
3.0116711 ,Left ,-17 ,-6 ,-3 ,+6 ,+7 ,+3 ,+4 ,+23
3.0117298 ,Left ,-10 ,-11 ,-4 ,-9 ,+8 ,-17 ,-14 ,-22
3.0188359 ,Left ,-8 ,-9 ,-1 ,+14 ,+26 ,-3 ,-1 ,0 
3.0188383 ,Left ,+15 ,+15 ,+7 ,-14 ,-23 ,-4 ,+9 ,-16
3.0338462 ,Left ,-3 ,+6 ,0  ,+11 ,+7 ,+5 ,+2 ,-2
3.033859 ,Left ,+3 ,+6 ,+8 ,+10 ,+9 ,+2 ,-21 ,+6
3.0415192 ,Left ,+2 ,-5 ,-7 ,-7 ,-1 ,-6 ,+13 ,+11
3.0415223 ,Left ,-12 ,-18 ,-10 ,-3 ,+11 ,-3 ,+1 ,-13
3.0566222 ,Left ,-10 ,0  ,+1 ,-10 ,-10 ,+3 ,-1 ,-7
3.0566256 ,Left ,+11 ,+4 ,+6 ,+31 ,+18 ,+4 ,-4 ,+20
3.0639782 ,Left ,-3 ,+1 ,-2 ,-10 ,-8 ,-3 ,+8 ,-4
3.0639815 ,Left ,0  ,-10 ,-12 ,+5 ,+6 ,+8 ,+5 ,-5
3.0715341 ,Left ,-3 ,-3 ,+2 ,-3 ,-18 ,-4 ,-7 ,-2
3.0715383 ,Left ,+5 ,+9 ,+4 ,-3 ,+12 ,+5 ,+2 ,+4
3.0789393 ,Left ,+9 ,+16 ,+8 ,+11 ,-25 ,-3 ,+2 ,-1
3.0789426 ,Left ,-1 ,+1 ,0  ,-6 ,+3 ,+2 ,-5 ,-6
3.0939129 ,Left ,-7 ,-14 ,-14 ,+4 ,-11 ,-6 ,+1 ,+2
3.0939165 ,Left ,-27 ,-9 ,-6 ,-10 ,+1 ,-3 ,-5 ,-6
3.1014452 ,Left ,+11 ,-7 ,-7 ,-22 ,-7 ,+1 ,-2 ,-6
3.1014496 ,Left ,-8 ,-2 ,-3 ,-5 ,-9 ,+1 ,+1 ,+4
3.1165932 ,Left ,-3 ,-1 ,+2 ,+3 ,0  ,-4 ,+1 ,-9
3.1165988 ,Left ,+10 ,+6 ,+4 ,+7 ,+1 ,+4 ,0  ,+8
3.1239937 ,Left ,-22 ,-2 ,-2 ,+6 ,-4 ,-4 ,-3 ,-4
3.1240001 ,Left ,+3 ,-5 ,+1 ,-8 ,-5 ,-8 ,-4 ,-10
3.1317764 ,Left ,-12 ,+1 ,+3 ,-3 ,+2 ,+6 ,0  ,+3
3.1318897 ,Left ,-1 ,-3 ,-4 ,0  ,-5 ,0  ,-5 ,+2
3.1390545 ,Left ,+24 ,+1 ,0  ,-3 ,+2 ,-4 ,+5 ,+3
3.1390612 ,Left ,-17 ,0  ,0  ,-1 ,-3 ,+6 ,+12 ,-18
3.1541751 ,Left ,+6 ,+2 ,+4 ,+4 ,-1 ,-1 ,-17 ,+23
3.1541823 ,Left ,+3 ,-1 ,-3 ,-5 ,+1 ,-2 ,+7 ,-11
3.161709 ,Left ,-6 ,-3 ,-4 ,-1 ,-5 ,0  ,-13 ,+13
3.1617156 ,Left ,+14 ,+6 ,+3 ,-1 ,-5 ,-4 ,+1 ,-6
3.1767477 ,Left ,-7 ,+4 ,+4 ,+9 ,+10 ,+2 ,+22 ,-7
3.1767549 ,Left ,+7 ,-6 ,-5 ,-10 ,-9 ,+1 ,-1 ,+16
3.1841468 ,Left ,+3 ,-2 ,0  ,-2 ,-3 ,-5 ,0  ,-9
3.1841536 ,Left ,0  ,+2 ,-1 ,+7 ,+9 ,-2 ,-9 ,+6
3.1917248 ,Left ,-6 ,+1 ,-1 ,-4 ,-10 ,0  ,0  ,-3
3.1917735 ,Left ,+5 ,-6 ,-3 ,-2 ,+1 ,-28 ,+13 ,+1
3.1991744 ,Left ,-5 ,-2 ,-1 ,0  ,+3 ,+11 ,-47 ,+6
